Batch#,STPP_Dosing Time,STPP_QTY,SODAL 1_Dosing Time,SODAL 1_QTY,LABSA_Dosing Time,LABSA_QTY,Mixing-1,Colour_Dosing Time,Colour_QTY,Mixing-2,Frisis + Feldspar_Dosing Time,Frisis + Feldspar_QTY,Mixing-3,HA 20_Dosing Time,HA 20_QTY,Mixing-4,SODAL 2_Dosing Time,SODAL 2_QTY,Mixing-5,Phosphoric Acid_Dosing Time,Phosphoric Acid_QTY,Mixing-6,Sodium Silicate_Dosing Time,Sodium Silicate_QTY,Mixing-7,Perfume_Dosing Time,Perfume_QTY,Mixing-8,Total Mixing Time,IDLE Time before PV,Median_BatchPV
Batch-441,39,170,179,720,82,470,290,84,16,21,29,339,157,25,79,157,103,659,164,762,262,313,25,67,30,13,2,30,1148,754,27
Batch-442,25,170,163,720,127,465,292,69,14,14,31,341,156,27,79,127,106,640,145,850,258,311,25,60,31,40,2,31,1107,1857,28
Batch-443,22,170,154,719,123,464,290,11,15,18,37,342,175,29,81,142,107,642,164,856,249,314,18,63,28,31,2,28,1148,2180,29
Batch-444,25,170,133,721,107,462,291,49,14,24,33,344,165,25,80,123,130,661,180,834,247,293,18,63,30,25,2,29,1135,3994,31
Batch-445,36,170,188,719,106,461,295,102,16,7,32,342,179,26,80,156,130,652,167,850,255,310,16,63,33,46,2,28,1148,690,28
Batch-446,28,170,125,721,82,462,240,24,14,18,31,335,156,26,81,145,109,637,173,778,260,317,24,67,30,11,2,29,1108,3647,30
Batch-447,37,170,120,719,101,467,236,89,14,58,40,339,177,27,81,122,144,650,176,815,246,326,24,60,30,2,2,29,1148,1666,28
Batch-448,24,170,130,721,132,469,284,82,16,38,38,339,181,27,80,134,184,636,154,782,255,326,23,64,32,43,2,31,1148,2379,29
Batch-449,23,170,159,720,93,464,254,100,16,56,40,344,163,27,80,135,146,655,160,830,246,325,19,63,32,63,2,30,1148,973,27
Batch-450,30,170,161,720,86,460,258,62,15,33,37,344,160,28,80,141,132,653,169,797,258,302,26,62,28,22,2,29,1120,977,27
Batch-451,23,170,192,721,122,470,253,51,16,28,32,336,167,26,80,136,106,660,173,824,250,300,15,70,30,14,2,31,1118,5717,32
Batch-452,25,170,176,721,125,465,271,17,14,43,39,337,161,26,79,135,107,664,150,757,259,296,19,69,27,25,2,31,1114,2569,28
Batch-453,26,170,156,721,120,468,275,47,15,33,40,336,157,26,81,122,187,642,124,790,252,334,25,64,27,39,2,29,1101,2018,27
Batch-454,19,170,146,721,85,466,238,54,16,10,39,343,181,26,81,155,155,646,142,807,250,310,15,69,30,2,2,28,1094,814,27
Batch-455,15,170,180,721,107,462,261,86,16,36,31,339,162,27,80,149,114,659,172,820,251,328,19,69,30,41,2,29,1148,2477,29
Batch-456,25,170,112,721,81,468,288,8,16,41,31,341,164,29,80,127,116,660,154,759,257,296,25,64,31,3,2,31,1132,1464,28
Batch-457,27,170,183,719,89,464,242,37,15,38,39,341,162,29,81,157,146,636,128,854,263,332,18,64,27,17,2,30,1116,826,27
Batch-458,35,170,154,719,120,465,274,104,15,9,34,339,175,25,80,152,114,663,131,817,245,301,20,68,31,56,2,28,1101,3932,30
Batch-459,34,170,109,720,107,470,284,26,16,60,33,341,175,26,79,157,181,659,180,846,263,295,15,62,27,16,2,30,1148,4824,32
Batch-460,29,170,171,720,119,468,257,11,16,24,30,338,163,26,80,143,134,635,179,793,247,305,24,66,30,47,2,28,1129,5158,31
Batch-461,18,170,110,719,107,468,265,102,14,22,32,344,170,29,80,154,110,646,136,805,245,303,20,70,27,59,2,29,1106,3264,29
Batch-462,33,170,157,719,77,460,295,54,14,23,41,341,168,26,79,145,158,654,163,823,254,333,19,67,31,32,2,28,1148,1222,28
Batch-463,17,170,115,719,96,461,279,21,16,5,28,340,155,25,79,159,169,650,176,764,249,295,18,66,27,58,2,29,1125,4773,31
Batch-464,15,170,166,719,134,469,255,12,16,29,26,343,176,27,79,158,108,654,143,829,265,334,22,64,33,11,2,31,1148,907,28
Batch-465,26,170,158,720,107,468,234,57,14,29,33,342,181,28,80,134,127,637,125,758,252,302,16,65,33,50,2,28,1066,1396,27
Batch-466,28,170,189,720,98,466,274,4,16,16,30,336,171,27,80,149,178,649,147,769,257,321,15,61,29,18,2,30,1137,1191,28
Batch-467,38,170,168,721,85,464,248,99,15,45,33,337,178,25,79,130,220,654,147,775,259,321,25,70,29,56,2,28,1126,5354,31
Batch-468,27,170,177,721,126,470,265,64,16,54,41,345,180,27,79,161,102,643,153,769,252,329,17,66,31,59,2,28,1148,866,27
Batch-469,34,170,196,720,119,468,294,122,14,8,35,338,169,27,80,123,150,663,167,849,246,299,26,62,32,58,2,30,1122,5803,32
Batch-470,23,170,164,721,83,460,276,114,15,46,35,338,162,29,79,129,145,641,137,844,246,330,21,64,32,42,2,29,1141,4894,31
Batch-471,15,170,154,720,124,467,300,8,14,6,27,340,159,28,79,139,119,664,169,828,249,313,19,62,33,24,2,31,1148,5773,32
Batch-472,20,170,163,721,77,469,266,105,16,24,36,335,172,25,80,149,159,648,136,854,249,299,21,61,28,48,2,31,1105,825,27
Batch-473,36,170,117,719,114,468,299,15,15,40,41,344,165,26,79,141,208,656,179,768,264,323,18,66,27,48,2,31,1148,4729,32
Batch-474,19,170,172,721,82,469,251,5,16,29,41,343,165,29,81,137,134,647,174,842,252,320,26,69,32,10,2,31,1139,5100,32
Batch-475,28,170,132,720,98,461,254,117,16,32,27,341,181,29,80,124,181,651,125,835,248,335,17,61,33,12,2,31,1115,808,27
Batch-476,39,170,107,720,133,469,275,19,16,32,26,344,174,27,81,134,147,636,160,834,254,306,22,67,29,62,2,30,1140,3712,30
Batch-477,39,170,177,719,122,468,280,34,14,45,41,342,164,26,80,126,166,656,141,759,263,325,22,69,29,40,2,29,1139,3942,30
Batch-478,38,170,183,720,105,460,298,100,14,15,35,336,171,29,81,141,118,645,150,856,264,325,21,68,31,23,2,31,1148,2914,30
Batch-479,37,170,125,720,99,470,248,4,14,10,28,343,161,28,81,132,200,638,151,822,264,295,22,63,33,19,2,31,1061,1099,27
Batch-480,30,170,195,721,115,470,298,51,14,53,40,338,157,26,81,135,132,649,154,850,243,335,26,65,28,5,2,28,1148,2014,29
Batch-481,16,170,194,720,115,462,261,100,14,32,38,335,176,28,79,131,176,643,164,776,260,329,17,70,27,39,2,30,1148,5097,32
Batch-482,15,170,174,720,117,460,264,82,15,17,35,335,172,26,80,158,189,658,130,795,243,318,20,69,32,18,2,30,1121,3655,29
Batch-483,22,170,190,719,132,464,293,19,16,36,40,343,178,29,81,143,221,649,178,772,259,306,23,64,30,38,2,28,1148,5079,32
Batch-484,39,170,129,721,110,470,248,35,14,4,31,337,166,25,80,142,157,636,121,830,253,335,18,64,33,50,2,30,1079,3127,29
Batch-485,18,170,110,719,123,462,260,95,15,25,34,337,165,29,80,158,168,635,150,800,265,328,17,68,29,32,2,29,1144,707,27
Batch-486,17,170,147,720,76,469,279,77,14,20,32,338,175,27,79,160,153,647,176,798,243,328,16,65,30,41,2,29,1148,2532,29
Batch-487,34,170,130,719,133,461,277,52,14,4,31,337,160,28,81,135,183,642,167,797,254,323,21,61,31,61,2,28,1125,2380,29
Batch-488,38,170,123,719,87,465,263,94,14,28,29,335,168,29,80,162,213,664,174,807,253,320,17,70,33,14,2,31,1148,3256,30
Batch-489,17,170,110,721,121,469,254,77,14,38,40,342,163,29,80,125,217,657,154,765,245,301,20,61,29,14,2,28,1092,4242,30
Batch-490,20,170,172,720,129,469,270,89,15,37,35,335,180,26,81,158,134,642,176,847,251,304,17,63,27,6,2,31,1148,703,28
Batch-491,16,170,188,719,85,461,251,117,16,29,41,340,168,26,81,154,154,654,139,765,245,331,25,69,28,39,2,31,1131,3599,29
Batch-492,32,170,191,721,105,466,244,42,16,53,41,337,156,27,81,160,186,663,155,826,244,317,16,69,28,21,2,28,1141,3633,29
Batch-493,25,170,195,719,102,462,246,114,15,45,38,339,161,27,79,138,198,660,166,812,244,306,17,64,28,24,2,31,1121,5407,31
Batch-494,28,170,106,721,94,465,255,26,15,48,34,344,158,27,81,158,206,655,130,815,258,312,19,65,28,12,2,29,1118,5404,31
Batch-495,35,170,153,721,92,466,274,110,14,12,32,345,158,26,80,155,152,656,121,775,246,307,15,67,27,4,2,31,1085,617,23
Batch-496,36,170,132,721,104,467,288,105,15,60,27,339,158,25,79,164,210,664,164,802,264,323,19,61,32,8,2,31,1148,4274,31
Batch-497,15,170,169,721,123,462,262,16,14,29,36,340,170,29,80,162,109,664,151,768,261,336,20,69,27,54,2,28,1148,3528,30
Batch-498,22,170,194,720,115,468,248,43,14,57,38,339,179,25,80,123,185,654,139,839,245,311,25,62,32,54,2,30,1119,5248,31
Batch-499,35,170,148,721,135,463,260,36,14,34,38,335,165,28,81,146,111,643,165,756,256,320,24,63,29,53,2,28,1147,4309,30
Batch-500,28,170,112,719,129,466,239,111,15,31,28,342,174,26,80,137,132,642,135,820,253,294,17,63,33,6,2,29,1072,1759,27
Batch-501,26,170,137,719,99,462,290,78,14,55,26,344,168,25,79,161,215,653,179,804,262,302,16,66,31,38,2,30,1148,4402,32
Batch-502,18,170,175,721,97,463,248,41,15,43,41,338,172,29,80,162,187,638,150,813,261,333,23,65,29,56,2,31,1148,3759,30
Batch-503,32,170,119,720,91,470,293,105,15,14,31,337,167,28,81,135,152,641,159,800,247,332,18,62,32,12,2,31,1148,1708,28
Batch-504,20,170,122,721,132,468,279,40,15,12,32,336,167,26,79,137,175,640,127,839,244,302,24,68,28,23,2,30,1082,5780,31
Batch-505,23,170,179,719,114,463,278,124,15,22,32,337,160,29,80,139,110,660,143,761,258,324,25,63,30,57,2,28,1124,2981,29
Batch-506,22,170,177,721,104,463,239,42,15,18,30,343,158,28,79,153,178,662,171,841,258,333,24,60,32,17,2,29,1133,797,27
Batch-507,32,170,139,719,82,465,286,104,14,8,27,339,174,26,80,137,103,649,156,806,264,310,15,68,28,2,2,29,1128,5192,32
Batch-508,15,170,195,720,98,461,255,49,14,25,37,337,171,28,79,126,136,663,145,825,248,308,21,61,32,38,2,31,1093,726,27
Batch-509,30,170,134,721,120,467,288,15,14,22,32,335,156,28,80,131,145,664,126,821,255,310,18,65,27,7,2,29,1089,1676,27
Batch-510,31,170,172,721,114,465,243,46,15,26,30,335,153,25,81,138,203,651,146,815,256,332,20,64,33,7,2,28,1099,4169,30
Batch-511,34,170,199,720,107,469,268,27,16,32,30,342,158,28,79,148,195,657,179,761,254,311,20,60,27,15,2,28,1148,5275,32
Batch-512,30,170,173,721,88,467,290,94,14,6,29,335,163,29,80,160,102,647,127,850,245,313,18,60,33,17,2,30,1122,1917,28
Batch-513,25,170,108,719,104,462,234,34,14,58,38,340,156,27,81,140,113,659,124,839,261,301,18,62,27,54,2,30,1070,3236,28
Batch-514,16,170,129,721,92,467,264,97,15,41,28,339,161,25,79,161,162,644,173,793,243,303,15,69,29,4,2,28,1148,5512,32
Batch-515,39,170,108,720,97,469,287,8,14,13,29,344,177,28,79,122,132,643,138,801,255,310,19,69,33,5,2,29,1109,1452,28
Batch-516,34,170,194,719,103,465,253,65,15,40,28,337,170,25,80,154,160,642,134,803,252,318,17,68,29,36,2,28,1126,4558,30
Batch-517,32,170,155,720,96,460,239,26,15,48,31,342,159,26,81,138,121,651,181,832,260,305,18,66,29,32,2,28,1127,5973,32
Batch-518,22,170,137,720,79,467,286,108,14,10,38,345,175,27,79,142,106,639,175,766,254,316,20,65,31,54,2,31,1148,4198,31
Batch-519,25,170,155,719,121,469,244,23,16,16,26,344,178,29,80,145,107,660,136,823,256,336,16,63,30,28,2,28,1113,822,27
Batch-520,34,170,133,721,78,462,244,22,14,28,28,339,161,29,80,160,184,640,171,769,264,336,18,64,28,5,2,29,1148,5477,32
Batch-521,36,170,120,719,116,468,274,116,16,11,41,345,168,27,79,127,186,647,125,833,252,335,19,63,32,3,2,30,1102,611,27
Batch-522,36,170,135,720,107,470,273,105,14,22,41,342,164,27,81,131,147,657,156,779,265,326,15,67,27,21,2,29,1128,3975,30
Batch-523,30,170,131,719,80,468,253,21,16,6,30,342,154,25,80,132,147,635,142,841,249,315,19,70,32,30,2,30,1064,2896,28
Batch-524,35,170,108,721,101,466,251,97,16,5,40,336,157,26,81,161,120,661,156,837,246,331,18,68,32,29,2,29,1122,3966,30
Batch-525,26,170,122,720,78,470,289,40,16,21,33,345,172,28,79,140,165,655,164,811,245,310,19,65,31,51,2,30,1148,2745,29
Batch-526,29,170,108,721,102,469,280,87,14,51,33,345,162,27,79,145,123,656,140,802,257,293,20,70,28,53,2,29,1128,2622,29
Batch-527,15,170,157,720,130,465,290,11,15,15,33,339,173,27,81,164,142,647,140,829,250,327,21,65,33,41,2,29,1148,2966,29
Batch-528,35,170,172,721,85,465,234,63,16,23,29,345,154,27,81,130,113,659,175,806,247,328,20,60,33,63,2,31,1108,1145,27
Batch-529,32,170,134,721,124,464,275,13,16,41,36,340,178,28,79,126,209,645,168,771,259,312,22,69,29,7,2,28,1148,4494,31
Batch-530,28,170,107,721,123,464,236,91,16,16,31,336,180,29,80,121,190,657,168,772,251,317,23,60,28,4,2,28,1094,4512,31
Batch-531,15,170,190,720,99,468,275,101,14,32,35,335,160,27,81,157,211,648,174,794,260,307,22,65,29,21,2,31,1148,935,28
Batch-532,31,170,195,719,77,466,286,70,16,40,39,339,167,29,79,121,128,662,144,776,258,293,24,63,30,41,2,31,1112,756,27
Batch-533,30,170,195,720,82,462,263,28,16,55,34,335,165,27,80,123,125,645,157,783,249,316,25,69,27,59,2,29,1135,919,27
Batch-534,29,170,160,720,126,464,264,57,16,48,30,342,168,27,80,137,182,657,169,788,250,320,21,68,30,35,2,28,1148,2173,29
Batch-535,27,170,115,720,116,470,296,51,16,47,28,344,171,28,79,159,158,647,139,848,248,336,26,62,27,26,2,30,1148,5153,32
Batch-536,36,170,113,719,115,460,259,84,14,45,32,338,154,27,81,138,188,647,145,853,265,308,24,68,28,6,2,29,1106,2153,28
Batch-537,35,170,162,719,106,466,272,113,16,25,41,336,165,26,80,155,159,660,124,795,244,315,25,70,28,4,2,29,1113,4733,30
Batch-538,39,170,178,720,96,462,292,53,14,58,38,339,153,27,79,145,113,649,166,837,260,326,25,61,28,23,2,29,1148,1022,28
Batch-539,38,170,186,720,80,470,261,121,16,9,32,342,177,25,81,146,165,647,137,783,245,325,16,68,33,6,2,30,1118,4001,30
Batch-540,22,170,111,719,126,465,273,103,14,18,33,336,167,25,80,145,107,636,160,786,248,303,21,64,28,31,2,28,1122,3530,30
Batch-541,36,170,192,719,102,467,259,75,14,14,32,338,177,29,79,154,179,661,152,764,261,330,20,68,32,41,2,31,1148,2552,29
Batch-542,16,170,121,719,116,469,260,38,15,8,35,338,181,29,80,127,173,655,137,773,261,294,22,70,33,6,2,31,1071,5854,32
Batch-543,35,170,186,719,78,461,290,24,16,21,30,338,175,26,79,131,101,648,143,794,256,321,18,64,30,11,2,30,1141,5601,32
Batch-544,18,170,120,721,128,463,251,68,14,37,38,343,176,29,80,152,222,658,132,756,251,313,24,67,28,64,2,31,1120,2398,28
Batch-545,29,170,163,721,133,462,283,19,16,20,27,344,176,26,81,143,130,644,176,808,255,312,19,62,28,38,2,31,1148,4179,31
Batch-546,27,170,140,719,97,467,246,117,15,25,41,345,160,27,79,120,125,637,161,856,265,296,20,66,30,9,2,29,1067,5479,32
Batch-547,16,170,106,720,108,470,242,66,15,42,30,339,177,27,80,120,191,642,146,795,263,303,25,64,29,6,2,31,1090,4064,30
Batch-548,26,170,153,721,96,470,276,32,14,16,38,335,167,29,80,141,174,648,174,834,250,314,19,65,28,6,2,28,1144,1096,28
Batch-549,17,170,198,721,93,470,237,11,14,38,32,344,164,25,80,125,168,657,174,775,245,312,20,69,33,12,2,30,1113,1726,28
Batch-550,37,170,149,719,111,466,278,73,14,8,41,342,181,26,79,150,146,645,167,840,244,301,18,68,30,62,2,31,1146,4450,31
Batch-551,37,170,154,720,123,460,265,112,15,11,31,345,177,29,79,136,171,650,121,850,258,295,26,64,30,16,2,29,1064,2566,28
Batch-552,25,170,193,719,87,460,259,19,15,15,33,341,165,26,79,121,107,639,132,855,250,313,18,63,28,43,2,30,1063,5559,31
Batch-553,21,170,112,720,89,465,290,69,14,33,39,342,171,29,80,157,152,649,167,758,244,333,23,69,28,3,2,28,1148,3502,30
Batch-554,22,170,130,719,97,461,289,70,15,9,34,345,179,26,79,130,105,643,130,778,253,337,25,65,29,47,2,30,1133,4912,31
Batch-555,23,170,138,719,112,468,299,51,14,50,35,335,161,29,81,121,122,664,139,785,255,321,21,66,33,62,2,30,1148,1547,28
Batch-556,34,170,191,721,88,461,267,62,14,36,36,337,178,29,79,146,119,652,165,835,244,317,26,67,31,54,2,31,1148,1547,28
Batch-557,30,170,113,720,99,462,280,116,15,50,30,344,177,27,80,125,181,647,160,848,256,301,21,66,29,47,2,30,1148,5370,32
Batch-558,36,170,178,721,108,468,278,34,16,5,32,338,160,29,81,160,210,652,169,785,265,313,20,70,29,12,2,28,1142,4267,31
Batch-559,36,170,162,720,78,468,264,99,16,10,34,342,163,25,80,141,183,650,163,842,255,327,19,68,33,56,2,28,1129,4879,31
Batch-560,34,170,190,719,94,460,286,83,16,32,33,341,173,26,80,131,151,647,177,770,259,314,26,68,32,63,2,30,1148,2574,30
Batch-561,31,170,163,719,93,461,258,6,14,40,36,336,160,29,81,129,166,662,130,784,252,304,19,67,27,14,2,29,1077,3720,29
Batch-562,36,170,126,719,136,465,246,52,14,46,39,345,169,25,81,149,181,663,181,804,254,314,15,60,27,47,2,31,1148,3676,30
Batch-563,26,170,119,719,104,467,251,68,14,56,36,338,180,26,79,125,116,662,121,822,243,293,21,69,27,7,2,28,1081,3074,28
Batch-564,19,170,153,720,104,466,235,50,14,26,27,340,171,26,79,132,167,658,137,843,244,317,15,63,28,3,2,30,1076,3628,29
Batch-565,32,170,145,720,90,468,297,93,15,48,30,345,164,26,81,137,215,635,143,834,255,302,23,65,32,10,2,31,1148,701,27
Batch-566,22,170,132,721,111,466,245,115,14,18,27,337,159,29,79,144,108,659,159,790,248,332,22,68,29,61,2,30,1116,3381,29
Batch-567,29,170,193,720,118,464,236,30,15,50,31,339,164,27,80,155,172,645,165,850,246,295,16,63,31,26,2,31,1127,905,27
Batch-568,30,170,118,720,110,468,276,65,15,7,33,342,166,25,80,125,182,646,154,801,250,333,17,66,27,15,2,31,1119,3937,30
Batch-569,18,170,116,721,123,470,261,124,15,43,32,342,179,28,80,164,184,637,124,799,264,295,16,61,32,55,2,29,1127,5169,31
Batch-570,22,170,173,719,119,468,292,9,14,45,36,337,171,27,81,139,170,660,175,809,248,295,23,62,29,23,2,30,1148,5140,32
Batch-571,16,170,149,720,100,460,298,60,16,40,38,341,168,27,81,122,133,644,174,782,252,315,22,64,30,20,2,30,1148,5345,32
Batch-572,37,170,197,719,84,463,244,58,14,57,34,342,169,27,81,152,170,636,145,771,253,301,16,60,33,5,2,30,1131,2016,28
Batch-573,37,170,147,721,125,466,293,22,14,30,39,345,177,25,81,156,217,656,144,856,243,335,23,69,33,22,2,28,1148,2642,29
Batch-574,38,170,198,720,93,464,245,8,14,47,39,336,177,29,80,151,165,660,178,832,261,297,17,60,33,2,2,29,1148,2392,29
Batch-575,30,170,176,720,99,462,248,49,14,14,28,342,169,29,79,144,206,660,157,759,258,316,19,68,28,49,2,29,1105,2254,28
Batch-576,34,170,111,721,136,465,273,7,16,32,32,341,163,25,79,153,172,662,153,819,243,328,18,67,30,52,2,31,1148,3573,30
Batch-577,27,170,140,721,89,470,256,13,16,30,41,339,180,27,80,131,178,646,166,781,264,307,17,66,33,32,2,31,1134,800,28
Batch-578,15,170,143,719,78,469,258,50,16,30,29,341,158,28,79,151,148,640,153,781,254,308,21,60,28,34,2,28,1114,1548,27
Batch-579,23,170,140,720,131,462,276,84,14,51,29,335,169,28,79,159,128,657,136,786,253,297,17,70,28,23,2,31,1147,3247,29
Batch-580,30,170,117,720,134,462,238,35,14,48,36,342,163,25,81,120,171,642,141,799,246,300,15,70,29,33,2,29,1068,1637,27
Batch-581,20,170,188,721,110,465,240,33,14,17,29,341,153,29,81,151,132,650,146,828,252,306,24,62,27,29,2,28,1068,3308,29
Batch-582,23,170,111,719,101,470,243,63,14,31,34,341,181,27,80,164,213,635,181,768,260,299,17,63,32,24,2,29,1148,4076,31
Batch-583,30,170,118,721,120,470,281,86,16,4,36,344,155,25,80,123,131,642,181,839,258,293,19,64,28,47,2,31,1096,2996,30
Batch-584,21,170,176,719,99,466,288,11,16,53,28,345,180,27,80,131,161,642,125,798,260,294,15,69,30,36,2,29,1130,2663,29
Batch-585,25,170,175,720,123,463,288,8,15,20,36,343,153,27,80,142,178,645,162,777,252,322,20,70,30,20,2,28,1145,2981,29
Batch-586,24,170,135,719,89,464,300,119,16,25,40,341,161,29,79,141,219,658,133,800,253,330,20,62,27,57,2,30,1147,2111,28
Batch-587,19,170,170,719,88,464,237,75,16,35,31,340,159,27,80,164,143,652,174,758,250,311,23,68,30,18,2,30,1140,4925,31
Batch-588,29,170,192,720,85,467,299,28,15,32,33,345,161,25,79,139,109,659,136,795,264,298,18,68,33,4,2,28,1126,807,27
Batch-589,27,170,122,721,104,465,286,37,16,47,34,336,181,28,81,127,135,659,158,854,258,298,20,66,29,33,2,30,1148,625,28
Batch-590,24,170,157,719,103,462,245,50,14,17,32,340,165,29,81,155,152,640,129,807,264,314,23,70,28,44,2,28,1081,1123,27
Batch-591,32,170,151,721,120,461,249,85,14,7,31,343,171,28,80,146,193,655,125,854,257,294,18,68,28,59,2,29,1049,2368,28
Batch-592,30,170,131,720,104,463,259,62,15,35,28,343,156,27,81,143,188,645,152,793,257,294,24,69,30,17,2,28,1097,3450,29
Batch-593,26,170,175,720,135,460,257,77,14,45,40,339,161,28,81,150,220,636,139,842,246,333,21,61,32,35,2,29,1146,2491,28
Batch-594,38,170,119,719,93,466,283,41,16,6,34,335,178,27,79,129,221,660,128,851,251,321,18,65,29,21,2,30,1104,1751,28
Batch-595,19,170,115,719,116,470,270,115,15,6,33,339,153,29,81,136,129,659,164,812,249,332,15,60,29,20,2,28,1118,5334,31
Batch-596,21,170,200,721,94,469,286,88,14,5,26,345,180,28,81,138,198,655,127,848,247,312,17,62,27,61,2,28,1103,5243,31
Batch-597,28,170,150,721,135,469,247,24,15,61,41,341,167,26,81,127,157,648,165,793,265,294,15,67,29,35,2,29,1119,5381,32
Batch-598,26,170,167,719,134,462,246,15,14,55,26,345,166,28,81,150,191,658,146,786,252,298,25,63,27,28,2,30,1118,2160,28
Batch-599,31,170,107,721,132,462,278,5,14,28,28,344,159,25,81,158,157,660,146,769,243,307,23,63,31,23,2,31,1138,4205,30
Batch-600,33,170,113,720,98,466,262,11,14,60,38,336,166,25,80,120,219,640,152,830,254,307,16,70,29,19,2,30,1126,3367,30
Batch-601,33,170,180,720,110,467,298,43,14,5,28,340,170,28,79,146,148,653,167,810,245,318,19,67,29,15,2,30,1148,4469,31
Batch-602,19,170,149,720,135,467,234,57,16,58,32,336,156,29,79,133,178,648,156,856,249,328,25,67,32,56,2,29,1126,810,27
Batch-603,33,170,171,720,91,462,234,55,15,31,26,345,165,25,81,140,181,636,134,774,246,326,17,70,27,29,2,28,1085,2744,28
Batch-604,28,170,189,719,96,469,235,64,16,29,36,340,164,27,81,125,105,663,178,808,248,303,19,67,31,5,2,30,1095,3151,29
Batch-605,34,170,181,721,126,463,265,29,14,29,34,340,170,27,79,139,189,646,142,794,245,337,19,64,33,54,2,29,1144,2114,28
Batch-606,27,170,143,719,120,461,286,16,14,23,26,340,177,27,81,161,164,650,172,848,257,318,15,60,29,14,2,29,1148,3927,31
Batch-607,35,170,105,721,83,469,296,59,15,15,30,341,155,27,80,157,221,637,130,837,247,329,26,66,27,37,2,29,1138,5062,31
Batch-608,37,170,158,720,113,466,243,95,15,42,27,344,165,29,81,126,114,635,175,785,261,310,21,69,32,59,2,31,1124,4291,31
Batch-609,28,170,151,721,120,469,238,60,15,28,39,337,164,28,80,126,113,656,179,810,256,329,25,63,28,33,2,30,1122,3316,30
Batch-610,16,170,125,720,123,461,238,109,16,59,37,341,176,27,80,125,183,661,145,856,261,332,22,69,29,51,2,28,1132,4182,31
Batch-611,16,170,112,721,116,461,273,114,15,47,32,343,161,25,80,145,161,663,145,785,248,320,17,65,32,47,2,31,1148,4022,30
Batch-612,21,170,128,719,114,460,281,65,15,23,37,343,180,28,81,126,208,653,179,797,262,305,21,68,33,3,2,30,1148,5066,32
Batch-613,29,170,181,720,103,460,238,40,14,27,33,335,162,28,81,121,196,636,179,812,263,308,26,62,29,18,2,30,1094,3457,30
Batch-614,24,170,199,721,129,464,268,36,15,52,36,342,176,25,80,131,156,654,169,775,259,294,25,69,29,54,2,29,1148,5798,32
Batch-615,33,170,148,721,118,460,250,16,16,13,28,341,165,29,81,152,106,659,135,800,259,335,24,68,28,60,2,28,1106,1216,27
Batch-616,32,170,107,719,113,467,261,8,14,56,28,338,168,26,79,158,133,640,159,805,261,327,25,62,33,53,2,28,1148,2470,29
Batch-617,18,170,111,720,122,468,287,89,15,9,41,345,174,27,79,125,105,663,171,823,252,328,23,68,33,46,2,31,1148,912,28
Batch-618,28,170,165,721,135,462,238,67,16,53,39,344,178,29,80,122,124,638,165,857,259,327,21,63,27,39,2,31,1141,5561,32
Batch-619,22,170,106,721,97,469,273,47,15,22,40,335,176,26,80,122,185,649,152,772,260,324,17,62,33,61,2,28,1130,2571,29
Batch-620,29,170,108,720,80,462,284,66,16,54,34,345,168,29,81,132,151,639,169,855,262,293,23,69,33,36,2,30,1148,3694,31
Batch-621,37,170,196,721,108,464,283,39,14,13,40,340,181,25,81,135,184,636,130,791,248,293,26,68,28,49,2,31,1094,4567,30
Batch-622,24,170,115,720,82,466,244,62,14,7,28,335,163,26,81,163,197,636,159,845,264,308,22,63,29,18,2,31,1104,5574,32
Batch-623,15,170,175,720,115,465,271,7,16,8,39,335,161,25,80,161,114,652,176,794,257,324,23,67,32,9,2,30,1148,4289,31
Batch-624,28,170,116,719,126,462,248,43,15,4,31,335,168,25,79,142,200,638,143,848,263,298,26,65,31,43,2,29,1063,4912,31
Batch-625,26,170,169,719,81,462,282,63,16,4,32,344,166,28,80,137,173,644,141,770,250,304,23,70,31,25,2,29,1094,1833,28
Batch-626,37,170,172,721,87,463,274,75,14,29,39,343,171,28,80,145,172,663,178,762,257,323,22,60,28,18,2,30,1148,4169,31
Batch-627,20,170,138,721,120,463,251,51,16,38,31,345,168,27,81,143,184,643,140,816,248,308,26,60,33,28,2,30,1111,5289,31
Batch-628,24,170,138,720,85,470,273,24,15,57,31,342,180,26,81,160,133,637,159,842,262,309,26,61,32,25,2,28,1148,4278,31
Batch-629,26,170,114,719,99,465,279,28,15,19,34,340,161,25,80,124,140,656,131,818,263,307,15,70,27,57,2,29,1077,4090,30
Batch-630,22,170,170,720,86,466,251,74,16,41,36,337,177,25,81,158,172,657,180,839,264,317,16,65,29,25,2,31,1148,1584,29
Batch-631,15,170,177,719,115,466,290,102,14,9,27,336,161,27,80,138,121,657,123,794,263,325,20,62,27,19,2,29,1102,808,27
Batch-632,23,170,153,719,128,463,264,28,15,24,26,336,154,27,80,163,136,646,126,770,254,324,15,66,29,47,2,28,1112,877,21
Batch-633,28,170,172,720,116,468,286,48,15,36,26,335,172,29,80,146,206,646,130,783,248,312,25,67,27,9,2,28,1137,2223,28
Batch-634,31,170,198,721,126,464,237,44,15,6,27,341,154,25,81,142,179,646,155,842,248,320,22,62,32,23,2,28,1074,5482,31
Batch-635,27,170,108,719,126,461,244,47,15,59,38,335,164,25,81,137,177,645,137,831,248,314,22,63,33,10,2,31,1119,5012,30
